model_dir,eval_A,eval_B,placebo_test,ood_social,ood_career
gpt4,51.587301587301596,62.5,96.03174603174604,69.44444444444444,50.0
Qwen,49.801587301587304,65.35714285714286,67.26190476190477,65.45138888888889,50.34722222222222
ollama-qwen2-7b,46.62698412698413,56.42857142857143,91.66666666666666,59.201388888888886,47.56944444444444
DeepSeek-V4-Flash,45.96560846560847,71.78571428571429,64.48412698412699,74.82638888888889,49.30555555555556
ollama-llama3-1-latest,41.732804232804234,61.78571428571429,75.1984126984127,61.979166666666664,50.34722222222222
ollama-llama3-8b,40.34391534391534,58.214285714285715,79.36507936507937,59.72222222222222,51.736111111111114
