dataset_split,best_acc,worst_acc,mean_acc,n_models,spread,best_model
eval_A,51.587301587301596,40.34391534391534,46.00970017636684,6,11.243386243386254,gpt4
eval_B,71.78571428571429,56.42857142857143,62.67857142857144,6,15.357142857142861,DeepSeek-V4-Flash
placebo_test,96.03174603174604,64.48412698412699,79.00132275132275,6,31.54761904761905,gpt4
ood_social,74.82638888888889,59.201388888888886,65.10416666666667,6,15.625,DeepSeek-V4-Flash
ood_career,51.736111111111114,47.56944444444444,49.88425925925926,6,4.166666666666671,ollama-llama3-8b
