dataset_split,items,mean_cross_model_correct,disagreement_items,disagreement_rate
eval_A,1512,0.3959435626102292,1321,0.8736772486772487
eval_B,280,0.6142857142857143,234,0.8357142857142857
placebo_test,504,0.7199074074074073,427,0.8472222222222222
ood_social,576,0.6221064814814814,379,0.6579861111111112
ood_career,576,0.49160879629629634,158,0.2743055555555556
